Dia,Poluentes,Indice,,,,,,,,,
30-05-17,Ozonio, Ozonio, Ozonio,41,45,53,,,,,
31-05-17,Ozonio, Ozonio,50,52,,,,,,,
01-06-17,,,,,,,,,,,
02-06-17,,,,,,,,,,,
03-06-17,,,,,,,,,,,
04-06-17,,,,,,,,,,,
05-06-17,,,,,,,,,,,
06-06-17,,,,,,,,,,,
07-06-17,,,,,,,,,,,
08-06-17,,,,,,,,,,,
09-06-17,,,,,,,,,,,
10-06-17,,,,,,,,,,,
11-06-17,,,,,,,,,,,
12-06-17,,,,,,,,,,,
13-06-17,,,,,,,,,,,
14-06-17,,,,,,,,,,,
15-06-17,,,,,,,,,,,
16-06-17,,,,,,,,,,,
17-06-17,,,,,,,,,,,
18-06-17,,,,,,,,,,,
19-06-17,,,,,,,,,,,
20-06-17,,,,,,,,,,,
21-06-17,,,,,,,,,,,
22-06-17,Ozonio, Ozonio, Particulas Inalaveis,40,39,50,,,,,
23-06-17,Particulas Inalaveis, Particulas Inalaveis, Particulas Inalaveis,26,19,50,,,,,
24-06-17,,,,,,,,,,,
25-06-17,,,,,,,,,,,
26-06-17,Particulas Inalaveis, Particulas Inalaveis, Particulas Inalaveis,20,13,34,,,,,
27-06-17,Particulas Inalaveis, Particulas Inalaveis, Particulas Inalaveis,17,9,31,,,,,
28-06-17,Ozonio, Ozonio, Ozonio,31,32,44,,,,,
29-06-17,Ozonio, Ozonio, Ozonio,38,41,34,,,,,
30-06-17,Ozonio, Ozonio, Particulas Inalaveis,44,41,47,,,,,
01-07-17,,,,,,,,,,,
02-07-17,,,,,,,,,,,
03-07-17,,,,,,,,,,,
04-07-17,,,,,,,,,,,
05-07-17,,,,,,,,,,,
06-07-17,,,,,,,,,,,
07-07-17,,,,,,,,,,,
08-07-17,,,,,,,,,,,
09-07-17,,,,,,,,,,,
10-07-17,,,,,,,,,,,
11-07-17,,,,,,,,,,,
12-07-17,,,,,,,,,,,
13-07-17,,,,,,,,,,,
14-07-17,Ozonio, Ozonio, Particulas Inalaveis,42,41,44,,,,,
15-07-17,,,,,,,,,,,
16-07-17,,,,,,,,,,,
17-07-17,Ozonio, Ozonio, Ozonio,42,38,40,,,,,
18-07-17,Ozonio, Dioxido de Nitrogenio, Ozonio, Particulas Inalaveis, Ozonio,,58,52,54,55,67
19-07-17,Ozonio, Ozonio, Ozonio,,57,53,67,,,,
20-07-17,Ozonio, Ozonio, Ozonio,,42,44,46,,,,
21-07-17,Ozonio, Particulas Inalaveis, Ozonio,,58,20,57,,,,
22-07-17,,,,,,,,,,,
23-07-17,,,,,,,,,,,
24-07-17,Ozonio, Ozonio, Particulas Inalaveis, Ozonio,,50,48,51,66,,
25-07-17,Ozonio, Ozonio,,44,82,,,,,,
26-07-17,,,,,,,,,,,
27-07-17,,,,,,,,,,,
28-07-17,,,,,,,,,,,
29-07-17,,,,,,,,,,,
30-07-17,,,,,,,,,,,
31-07-17,,,,,,,,,,,
01-08-17,,,,,,,,,,,
02-08-17,,,,,,,,,,,
03-08-17,,,,,,,,,,,
04-08-17,,,,,,,,,,,
05-08-17,,,,,,,,,,,
06-08-17,,,,,,,,,,,
07-08-17,Ozonio, Ozonio,,40,38,,,,,,
08-08-17,Ozonio, Ozonio,,36,51,,,,,,
09-08-17,Ozonio, Ozonio,,44,82,,,,,,
10-08-17,Particulas Inalaveis, Ozonio,,63,111,,,,,,
11-08-17,Particulas Inalaveis, Particulas Inalaveis,,62,76,,,,,,
12-08-17,,,,,,,,,,,
13-08-17,,,,,,,,,,,
14-08-17,Particulas Inalaveis, Particulas Inalaveis,,62,76,,,,,,
15-08-17,,,,,,,,,,,
16-08-17,,,,,,,,,,,
17-08-17,,,,,,,,,,,
18-08-17,,,,,,,,,,,
19-08-17,Particulas Inalaveis,47,,,,,,,,,
20-08-17,,,,,,,,,,,
21-08-17,Particulas Inalaveis,47,,,,,,,,,
22-08-17,Particulas Inalaveis, Particulas Inalaveis,,24,34,,,,,,
